id,OCCUPATION_42,Sex,Insee_code,is_student,ACTIVITY_TYPE,household,credential,age_2018,target
23982,"csp_7_5","Male","31265",FALSE,"AT.2.1","ft4.3","dip1-9",73,"J"
23983,"csp_7_4","Male","31266",FALSE,"AT.2.1","ft4.4","dip1-8",80,"J"
23984,"csp_8_4","Male","31268",TRUE,"AT.2.2","ft4.3","dip1-2",19,"J"
23986,"csp_3_4","Male","31270",FALSE,"AT.1.1","ft4.1","dip1-8",55,"J"
23987,"csp_6_2","Male","31271",FALSE,"AT.1.1","ft4.2","dip1-3",29,"J"
23988,"csp_3_8","Male","31271",FALSE,"AT.1.1","ft1.1","dip1-8",42,"J"
23990,"csp_7_2","Female","31273",FALSE,"AT.2.1","ft1.2","dip1-1",86,"J"
23991,"csp_7_7","Female","31275",FALSE,"AT.2.1","ft1.2","dip1-3",77,"P"
23993,"csp_8_5","Female","31277",FALSE,"AT.2.5","ft3.2","dip1-4",47,"J"
23996,"csp_3_3","Female","31281",FALSE,"AT.1.1","ft1.2","dip1-8",28,"J"
23998,"csp_8_4","Female","31281",TRUE,"AT.2.2","ft4.1","dip1-2",17,"J"
23999,"csp_7_5","Male","31282",FALSE,"AT.2.1","ft1.1","dip1-2",74,"J"
24001,"csp_5_2","Male","31282",FALSE,"AT.1.1","ft4.1","dip1-4",48,"J"
24004,"csp_2_1","Male","31282",FALSE,"AT.1.1","ft4.1","dip1-6",38,"J"
24006,"csp_5_4","Male","31282",FALSE,"AT.1.1","ft4.1","dip1-4",42,"J"
24008,"csp_6_8","Female","31282",FALSE,"AT.1.1","ft4.3","dip1-2",47,"J"
24010,"csp_3_4","Male","31282",FALSE,"AT.1.1","ft4.2","dip1-4",46,"J"
24011,"csp_7_7","Female","31284",FALSE,"AT.2.1","ft1.2","dip2",83,"J"
24013,"csp_7_5","Female","31284",FALSE,"AT.2.1","ft4.4","dip1-4",78,"J"
24015,"csp_4_8","Male","31287",FALSE,"AT.1.1","ft4.1","dip1-3",50,"J"
24017,"csp_8_4","Female","31287",TRUE,"AT.2.2","ft1.2","dip1-7",23,"J"
24018,"csp_5_4","Male","31288",FALSE,"AT.1.1","ft4.1","dip1-3",56,"J"
24020,"csp_5_4","Female","31291",FALSE,"AT.1.2","ft4.2","dip1-7",46,"J"
24022,"csp_3_8","Male","31291",FALSE,"AT.1.1","ft3.1","dip1-7",35,"J"
24025,"csp_7_7","Male","31291",FALSE,"AT.2.1","ft4.4","dip1-3",76,"J"
24027,"csp_7_8","Male","31291",FALSE,"AT.2.1","ft3.1","dip1",84,"J"
24028,"csp_6_3","Female","31291",FALSE,"AT.1.1","ft2.0","dip1-3",43,"J"
24030,"csp_5_2","Female","31291",FALSE,"AT.1.1","ft4.3","dip1-2",55,"P"
24031,"csp_3_4","Female","31291",TRUE,"AT.1.1","ft1.2","dip1-8",32,"J"
24032,"csp_3_7","Female","31291",FALSE,"AT.1.1","ft4.1","dip1-7",43,"J"
24033,"csp_6_4","Male","31291",FALSE,"AT.1.1","ft4.1","dip1-3",34,"J"
24036,"csp_5_3","Male","31291",FALSE,"AT.1.1","ft4.1","dip1-4",29,"J"
24038,"csp_6_8","Male","31293",FALSE,"AT.1.1","ft4.1","dip1-7",64,"J"
24042,"csp_5_5","Male","31297",TRUE,"AT.1.1","ft1.1","dip1-4",25,"J"
24043,"csp_4_3","Female","31297",FALSE,"AT.1.1","ft4.1","dip1-7",41,"J"
24047,"csp_3_4","Male","31299",TRUE,"AT.1.1","ft1.1","dip1-8",27,"J"
24048,"csp_3_4","Male","31299",FALSE,"AT.1.1","ft4.2","dip1-9",67,"J"
24049,"csp_8_1","Female","31299",TRUE,"AT.1.2","ft3.2","dip1-7",32,"J"
24050,"csp_4_3","Female","31299",FALSE,"AT.1.1","ft4.1","dip1-7",63,"J"
24054,"csp_8_4","Male","31300",FALSE,"AT.2.2","ft4.1","dip1-7",22,"J"
24055,"csp_8_4","Female","31301",TRUE,"AT.2.2","ft4.1","dip1-2",18,"J"
24056,"csp_7_5","Female","31303",FALSE,"AT.2.1","ft4.4","dip1-6",65,"P"
24057,"csp_8_4","Female","31303",TRUE,"AT.2.2","ft1.2","dip1-7",24,"J"
24058,"csp_8_4","Female","31303",TRUE,"AT.2.2","ft4.1","dip1-2",21,"J"
24059,"csp_8_1","Male","31304",TRUE,"AT.1.2","ft1.1","dip1-8",25,"J"
24060,"csp_8_4","Female","31305",TRUE,"AT.2.2","ft4.1","dip1-4",18,"J"
24061,"csp_5_5","Female","31309",FALSE,"AT.1.1","ft1.2","dip1-4",21,"J"
24063,"csp_7_4","Male","31310",FALSE,"AT.2.1","ft4.4","dip1-8",83,"J"
24064,"csp_8_1","Female","31311",TRUE,"AT.1.2","ft4.1","dip1-2",19,"J"
24065,"csp_8_6","Female","31311",FALSE,"AT.2.5","ft4.4","dip1",64,"J"
24066,"csp_7_5","Female","31311",FALSE,"AT.2.1","ft4.4","dip1-6",67,"P"
24069,"csp_3_7","Female","31315",FALSE,"AT.1.1","ft4.3","dip1-2",60,"J"
24070,"csp_5_2","Female","31316",FALSE,"AT.1.1","ft4.1","dip1-3",57,"J"
24071,"csp_8_6","Female","31316",FALSE,"AT.2.4","ft4.4","dip1-2",74,"J"
24072,"csp_7_8","Male","31320",FALSE,"AT.2.1","ft4.4","dip3",72,"J"
24073,"csp_6_3","Male","31320",FALSE,"AT.1.1","ft4.2","dip1-1",30,"J"
24074,"csp_4_6","Female","31324",FALSE,"AT.1.1","ft1.2","dip1-6",37,"J"
24075,"csp_8_4","Female","31324",TRUE,"AT.2.2","ft4.1","dip1-2",17,"J"
24076,"csp_5_6","Female","31325",FALSE,"AT.1.1","ft3.2","dip1-3",46,"P"
24082,"csp_8_4","Female","31338",TRUE,"AT.2.2","ft3.2","dip2",19,"J"
24090,"csp_7_7","Female","31341",FALSE,"AT.2.1","ft1.2","dip1-6",75,"J"
24093,"csp_4_7","Male","31341",FALSE,"AT.1.1","ft1.1","dip1-5",53,"J"
24094,"csp_4_7","Male","31341",FALSE,"AT.1.1","ft4.1","dip1-3",47,"J"
24097,"csp_3_1","Female","31344",FALSE,"AT.1.1","ft4.1","dip1-9",73,"J"
24098,"csp_7_7","Male","31345",FALSE,"AT.2.1","ft4.4","dip1-2",64,"J"
24099,"csp_6_4","Male","31345",FALSE,"AT.1.1","ft2.0","dip1-3",44,"J"
24101,"csp_8_4","Male","31345",TRUE,"AT.2.2","ft4.1","dip1-2",18,"J"
24102,"csp_7_5","Male","31346",FALSE,"AT.2.1","ft4.4","dip1-5",82,"J"
24104,"csp_3_8","Female","31349",FALSE,"AT.1.1","ft4.1","dip1-8",45,"J"
24105,"csp_6_4","Female","31350",FALSE,"AT.1.1","ft3.2","dip1-4",43,"J"
24109,"csp_8_5","Male","31351",TRUE,"AT.2.2","ft4.1","dip3",15,"J"
24111,"csp_4_2","Female","31351",FALSE,"AT.1.1","ft4.1","dip1-7",55,"J"
24115,"csp_3_4","Female","31351",FALSE,"AT.1.1","ft4.1","dip1-8",32,"J"
24117,"csp_3_4","Female","31353",FALSE,"AT.1.1","ft4.3","dip1-7",38,"J"
24118,"csp_4_5","Female","31356",FALSE,"AT.1.1","ft4.1","dip1-7",37,"J"
24119,"csp_5_4","Female","31356",TRUE,"AT.1.1","ft4.1","dip1-4",25,"J"
24121,"csp_3_4","Male","31358",TRUE,"AT.1.1","ft4.2","dip1-8",30,"J"
24124,"csp_4_3","Male","31358",FALSE,"AT.1.1","ft4.1","dip1-9",48,"J"
24126,"csp_5_5","Female","31361",FALSE,"AT.1.1","ft3.2","dip1-3",56,"P"
24129,"csp_7_8","Male","31364",FALSE,"AT.2.1","ft4.4","dip1-1",85,"J"
24131,"csp_5_2","Female","31364",FALSE,"AT.1.1","ft2.0","dip1-3",64,"J"
24132,"csp_5_3","Male","31366",FALSE,"AT.1.1","ft4.1","dip1-4",43,"J"
24137,"csp_3_8","Female","31375",FALSE,"AT.1.1","ft4.1","dip1-8",33,"J"
24141,"csp_7_5","Female","31375",FALSE,"AT.2.1","ft4.4","dip1-7",67,"P"
24143,"csp_6_3","Male","31377",FALSE,"AT.1.1","ft1.1","dip1-3",51,"J"
24145,"csp_7_8","Male","31377",FALSE,"AT.2.1","ft4.4","dip1",71,"J"
24147,"csp_8_4","Male","31381",TRUE,"AT.2.2","ft1.1","dip1-7",25,"J"
24149,"csp_4_6","Female","31381",FALSE,"AT.1.1","ft4.1","dip1-6",44,"J"
24150,"csp_5_2","Female","31381",FALSE,"AT.1.1","ft1.2","dip1-7",34,"J"
24153,"csp_6_7","Male","31384",FALSE,"AT.1.1","ft4.1","dip1-4",58,"J"
24155,"csp_1_1","Male","31384",FALSE,"AT.1.1","ft4.1","dip1-3",61,"J"
24156,"csp_8_4","Female","31386",TRUE,"AT.2.2","ft2.0","dip1-4",23,"J"
24157,"csp_8_4","Male","31386",TRUE,"AT.2.2","ft2.0","dip1-4",21,"J"
24161,"csp_3_7","Male","31389",TRUE,"AT.1.1","ft1.1","dip1-8",33,"J"
24164,"csp_7_7","Female","31389",FALSE,"AT.2.1","ft1.2","dip1-4",67,"J"
24169,"csp_4_8","Male","31390",FALSE,"AT.1.1","ft4.1","dip1-3",56,"J"
24170,"csp_5_6","Female","31391",TRUE,"AT.1.1","ft4.1","dip1-3",19,"J"
24171,"csp_4_6","Female","31393",FALSE,"AT.1.1","ft1.2","dip1-7",62,"J"
24172,"csp_3_4","Female","31395",FALSE,"AT.1.1","ft4.1","dip1-7",43,"J"
24176,"csp_3_4","Female","31395",FALSE,"AT.1.1","ft3.2","dip1-7",45,"J"
24177,"csp_3_4","Male","31395",FALSE,"AT.1.1","ft4.1","dip1-8",35,"J"
24182,"csp_8_5","Female","31395",FALSE,"AT.2.5","ft4.4","dip1-2",41,"J"
24187,"csp_8_5","Female","31395",FALSE,"AT.2.4","ft4.2","dip1-4",56,"P"
24189,"csp_4_7","Male","31395",FALSE,"AT.1.1","ft4.4","dip3",35,"J"
24192,"csp_7_7","Male","31395",FALSE,"AT.2.1","ft4.3","dip1-4",66,"J"
24193,"csp_3_1","Male","31395",FALSE,"AT.1.1","ft1.1","dip1-8",54,"J"
24195,"csp_5_6","Female","31395",FALSE,"AT.1.1","ft3.2","dip3",43,"J"
24197,"csp_6_4","Male","31395",FALSE,"AT.1.1","ft4.1","dip1-5",47,"J"
24198,"csp_5_6","Female","31395",FALSE,"AT.1.2","ft1.2","dip1-3",46,"J"
24199,"csp_8_4","Female","31395",TRUE,"AT.2.2","ft4.1","dip3",17,"J"
24202,"csp_7_7","Female","31395",FALSE,"AT.2.1","ft1.2","dip1-4",65,"J"
24206,"csp_3_1","Female","31395",TRUE,"AT.1.2","ft1.2","dip1-8",61,"J"
24208,"csp_8_4","Female","31395",TRUE,"AT.2.2","ft4.1","dip1-2",17,"J"
24210,"csp_3_7","Male","31395",FALSE,"AT.1.1","ft4.1","dip1-7",45,"J"
24213,"csp_7_2","Male","31395",FALSE,"AT.2.1","ft4.4","dip1-6",72,"J"
24215,"csp_6_7","Female","31395",FALSE,"AT.1.1","ft4.1","dip1-5",50,"P"
24217,"csp_8_5","Male","31395",FALSE,"AT.2.5","ft1.1","dip1-2",55,"J"
24219,"csp_7_4","Male","31395",FALSE,"AT.2.1","ft4.4","dip1-4",78,"J"
24221,"csp_3_7","Male","31395",FALSE,"AT.1.1","ft4.1","dip1-8",49,"J"
24223,"csp_3_3","Female","31395",FALSE,"AT.1.1","ft4.1","dip1-7",36,"J"
24230,"csp_7_4","Male","31399",FALSE,"AT.2.1","ft4.4","dip1-7",65,"J"
24234,"csp_5_5","Female","31399",FALSE,"AT.1.2","ft4.2","dip1-3",51,"J"
24238,"csp_7_7","Female","31406",FALSE,"AT.2.1","ft4.4","dip1-3",69,"P"
24239,"csp_5_2","Female","31407",FALSE,"AT.1.1","ft3.2","dip1-3",30,"J"
24240,"csp_7_7","Female","31407",FALSE,"AT.2.1","ft4.4","dip2",75,"J"
24241,"csp_5_4","Male","31407",FALSE,"AT.1.1","ft4.1","dip1-6",29,"J"
24242,"csp_8_6","Female","31407",FALSE,"AT.2.5","ft1.2","dip1-6",64,"J"
24248,"csp_8_5","Female","31411",FALSE,"AT.2.4","ft4.4","dip1-7",28,"J"
24255,"csp_7_5","Male","31417",FALSE,"AT.2.1","ft1.1","dip2",67,"J"
24256,"csp_5_2","Female","31417",FALSE,"AT.1.2","ft1.2","dip1-3",53,"J"
24258,"csp_8_6","Female","31417",FALSE,"AT.2.4","ft1.2","dip1-6",67,"J"
24259,"csp_5_6","Female","31417",TRUE,"AT.1.1","ft1.2","dip1-2",21,"J"
24261,"csp_5_6","Female","31417",FALSE,"AT.1.2","ft4.4","dip1-3",34,"J"
24262,"csp_4_6","Male","31417",FALSE,"AT.1.1","ft1.1","dip1-6",56,"J"
24264,"csp_7_7","Female","31418",FALSE,"AT.2.1","ft1.2","dip1-7",69,"J"
24267,"csp_7_2","Female","31418",FALSE,"AT.2.1","ft1.2","dip1-4",95,"J"
24269,"csp_8_4","Female","31420",TRUE,"AT.2.2","ft4.1","dip1-2",20,"J"
24271,"csp_6_8","Female","31420",FALSE,"AT.1.1","ft2.0","dip1-3",35,"J"
24273,"csp_4_8","Male","31420",FALSE,"AT.1.1","ft4.1","dip1-3",45,"J"
24274,"csp_4_6","Female","31420",FALSE,"AT.1.1","ft1.2","dip1-6",61,"J"
24275,"csp_7_7","Female","31420",TRUE,"AT.2.1","ft4.2","dip1",68,"J"
24276,"csp_4_6","Male","31421",FALSE,"AT.1.1","ft4.2","dip1-8",38,"J"
24277,"csp_7_8","Female","31421",FALSE,"AT.2.1","ft4.4","dip1-2",79,"J"
24279,"csp_4_6","Female","31421",FALSE,"AT.1.1","ft1.2","dip1-8",27,"J"
24282,"csp_7_5","Female","31424",FALSE,"AT.2.1","ft1.2","dip1-1",98,"J"
24285,"csp_7_2","Female","31424",FALSE,"AT.2.1","ft4.4","dip1",86,"J"
24286,"csp_7_4","Male","31424",FALSE,"AT.2.1","ft4.4","dip1-8",94,"J"
24287,"csp_4_6","Female","31424",FALSE,"AT.1.2","ft4.1","dip1-6",24,"J"
24288,"csp_8_4","Male","31424",TRUE,"AT.2.2","ft1.1","dip1-4",20,"J"
24289,"csp_7_5","Female","31424",FALSE,"AT.2.1","ft1.2","dip1-7",67,"J"
24290,"csp_3_4","Female","31424",FALSE,"AT.1.1","ft4.1","dip1-7",48,"J"
24291,"csp_2_1","Male","31424",FALSE,"AT.1.1","ft4.1","dip2",28,"J"
24292,"csp_5_2","Female","31424",FALSE,"AT.1.1","ft4.1","dip1-7",50,"J"
24293,"csp_5_2","Female","31424",FALSE,"AT.1.1","ft4.3","dip1-3",42,"P"
24294,"csp_8_4","Male","31424",TRUE,"AT.2.2","ft1.1","dip1-8",31,"J"
24295,"csp_3_8","Male","31424",FALSE,"AT.1.1","ft2.0","dip1-8",60,"J"
24296,"csp_4_3","Female","31424",FALSE,"AT.1.1","ft4.1","dip1-7",56,"J"
24299,"csp_3_4","Female","31424",FALSE,"AT.1.1","ft4.1","dip1-8",59,"J"
24300,"csp_3_3","Female","31424",FALSE,"AT.1.1","ft1.2","dip1-9",59,"J"
24302,"csp_4_7","Male","31424",FALSE,"AT.1.1","ft4.1","dip1-7",26,"J"
24306,"csp_8_4","Male","31427",TRUE,"AT.2.2","ft3.2","dip1-2",18,"J"
24307,"csp_8_5","Female","31429",TRUE,"AT.2.2","ft4.1","dip3",16,"J"
24308,"csp_8_4","Male","31429",TRUE,"AT.2.2","ft3.2","dip1-5",20,"J"
24310,"csp_7_7","Female","31433",FALSE,"AT.2.1","ft4.4","dip1-3",77,"P"
24315,"csp_8_6","Male","31433",FALSE,"AT.2.5","ft4.4","dip1-3",63,"J"
24316,"csp_3_3","Male","31433",FALSE,"AT.1.1","ft4.1","dip1-8",36,"J"
24319,"csp_7_8","Male","31435",FALSE,"AT.2.1","ft4.4","dip2",96,"J"
24321,"csp_4_7","Male","31435",FALSE,"AT.1.1","ft4.3","dip1-6",31,"J"
24322,"csp_7_5","Female","31435",FALSE,"AT.2.1","ft1.2","dip1-4",81,"J"
24324,"csp_4_6","Female","31442",FALSE,"AT.1.1","ft4.1","dip1-6",45,"J"
24326,"csp_3_8","Female","31445",FALSE,"AT.1.1","ft4.1","dip1-8",37,"J"
24329,"csp_7_8","Male","31445",FALSE,"AT.2.1","ft4.4","dip1-1",74,"J"
24331,"csp_6_4","Male","31445",FALSE,"AT.1.1","ft4.1","dip1-3",41,"J"
24332,"csp_4_3","Female","31445",FALSE,"AT.1.1","ft4.1","dip1-6",51,"J"
24339,"csp_7_2","Male","31446",FALSE,"AT.2.1","ft4.4","dip1-3",79,"J"
24341,"csp_8_6","Female","31446",FALSE,"AT.2.1","ft1.2","dip1",70,"J"
24342,"csp_2_1","Male","31446",FALSE,"AT.1.1","ft4.1","dip1-3",42,"J"
24343,"csp_8_5","Female","31446",FALSE,"AT.2.4","ft4.2","dip1-3",49,"J"
24344,"csp_4_7","Male","31446",FALSE,"AT.1.1","ft3.1","dip1-3",59,"J"
24345,"csp_3_8","Male","31446",FALSE,"AT.1.1","ft1.1","dip1-8",37,"J"
24347,"csp_8_4","Male","31446",TRUE,"AT.2.2","ft4.1","dip1-6",21,"J"
24349,"csp_3_8","Male","31446",FALSE,"AT.1.1","ft4.1","dip1-8",38,"J"
24350,"csp_8_5","Female","31446",FALSE,"AT.2.4","ft4.2","dip1-7",35,"J"
24354,"csp_6_8","Female","31446",FALSE,"AT.1.1","ft4.3","dip1-3",52,"P"
24355,"csp_7_7","Female","31446",FALSE,"AT.2.1","ft4.4","dip1-1",88,"J"
24356,"csp_8_1","Female","31446",FALSE,"AT.1.2","ft4.4","dip1-7",26,"J"
24357,"csp_2_1","Male","31446",FALSE,"AT.1.1","ft4.2","dip1-7",62,"J"
24358,"csp_7_5","Female","31446",FALSE,"AT.2.1","ft1.2","dip1-1",84,"J"
24360,"csp_7_4","Male","31446",FALSE,"AT.2.1","ft4.3","dip1-6",68,"J"
24361,"csp_7_5","Female","31446",FALSE,"AT.2.1","ft4.4","dip1-4",67,"J"
24363,"csp_4_5","Female","31448",FALSE,"AT.1.1","ft4.1","dip1-6",45,"J"
24364,"csp_5_2","Female","31451",FALSE,"AT.1.1","ft3.2","dip2",47,"J"
24366,"csp_4_7","Male","31451",TRUE,"AT.1.1","ft2.0","dip1-4",21,"J"
24367,"csp_7_7","Male","31451",FALSE,"AT.2.1","ft4.4","dip1-1",81,"J"
24371,"csp_3_7","Male","31451",FALSE,"AT.1.1","ft4.1","dip1-8",63,"J"
24374,"csp_5_4","Male","31451",FALSE,"AT.1.1","ft4.2","dip1-4",57,"J"
24376,"csp_3_8","Male","31451",FALSE,"AT.1.1","ft1.1","dip1-7",29,"J"
24383,"csp_6_8","Female","31451",FALSE,"AT.1.1","ft1.2","dip1-4",51,"J"
24384,"csp_5_6","Female","31454",FALSE,"AT.1.1","ft3.2","dip3",46,"P"
24386,"csp_8_4","Male","31454",TRUE,"AT.2.2","ft2.0","dip1-7",26,"J"
24389,"csp_7_7","Male","31454",FALSE,"AT.2.1","ft4.4","dip1-2",63,"J"
24390,"csp_6_3","Male","31454",FALSE,"AT.1.1","ft1.1","dip1-3",55,"J"
24391,"csp_7_2","Female","31455",FALSE,"AT.2.1","ft3.2","dip1-2",88,"J"
24392,"csp_7_7","Male","31455",FALSE,"AT.2.1","ft4.4","dip1-3",68,"P"
24396,"csp_6_3","Male","31455",FALSE,"AT.1.1","ft4.2","dip1-3",29,"J"
24399,"csp_8_5","Female","31458",FALSE,"AT.2.5","ft4.4","dip2",58,"J"
24400,"csp_3_7","Male","31458",FALSE,"AT.1.1","ft4.2","dip1-8",35,"J"
24402,"csp_8_4","Male","31458",TRUE,"AT.2.2","ft1.1","dip1-4",23,"J"
24408,"csp_3_8","Male","31460",FALSE,"AT.1.1","ft4.1","dip1-8",37,"J"
24410,"csp_5_2","Female","31460",FALSE,"AT.1.2","ft3.2","dip1-4",52,"J"
24411,"csp_4_2","Female","31462",FALSE,"AT.1.1","ft4.1","dip1-8",26,"J"
24414,"csp_5_5","Female","31462",FALSE,"AT.1.2","ft1.2","dip1-4",26,"J"
24415,"csp_3_7","Male","31463",FALSE,"AT.1.1","ft3.1","dip1-3",29,"J"
24416,"csp_6_8","Female","31466",FALSE,"AT.1.1","ft3.2","dip1-2",40,"J"
24418,"csp_7_7","Female","31467",FALSE,"AT.2.1","ft4.1","dip2",63,"J"
24421,"csp_3_1","Female","31467",FALSE,"AT.1.1","ft4.1","dip1-8",31,"J"
24423,"csp_4_3","Male","31467",FALSE,"AT.1.1","ft4.1","dip1-7",25,"J"
24424,"csp_8_5","Female","31467",FALSE,"AT.2.4","ft4.2","dip3",32,"J"
24425,"csp_3_7","Female","31467",FALSE,"AT.1.2","ft4.2","dip1-8",40,"J"
24426,"csp_8_4","Male","31467",TRUE,"AT.2.2","ft4.1","dip1-4",23,"J"
24427,"csp_6_2","Male","31467",FALSE,"AT.1.1","ft1.1","dip1-4",27,"J"
24428,"csp_6_8","Female","31469",FALSE,"AT.1.1","ft4.1","dip1-5",33,"J"
24430,"csp_2_1","Male","31472",FALSE,"AT.1.2","ft1.1","dip1-3",46,"J"
24433,"csp_6_3","Male","31478",FALSE,"AT.1.2","ft1.1","dip1-3",60,"J"
24434,"csp_7_7","Female","31479",FALSE,"AT.2.1","ft3.2","dip2",92,"J"
24436,"csp_8_4","Male","31481",TRUE,"AT.2.2","ft4.1","dip1-4",20,"J"
24437,"csp_4_2","Female","31481",TRUE,"AT.1.1","ft4.1","dip1-8",53,"J"
24438,"csp_6_3","Female","31481",FALSE,"AT.1.1","ft4.1","dip1-3",57,"P"
24439,"csp_4_6","Male","31482",FALSE,"AT.1.1","ft1.1","dip1-4",35,"J"
24440,"csp_6_7","Male","31483",FALSE,"AT.1.1","ft4.2","dip1-5",46,"J"
24442,"csp_3_1","Female","31483",FALSE,"AT.1.1","ft4.1","dip1-8",63,"J"
24443,"csp_8_4","Female","31483",TRUE,"AT.2.2","ft4.3","dip1-4",25,"J"
24444,"csp_7_7","Female","31483",FALSE,"AT.2.1","ft4.4","dip1-1",93,"J"
24445,"csp_8_4","Female","31483",TRUE,"AT.2.2","ft4.1","dip1-2",19,"J"
24447,"csp_8_5","Female","31483",FALSE,"AT.2.5","ft3.2","dip1-4",22,"J"
24450,"csp_7_7","Female","31483",FALSE,"AT.2.1","ft4.4","dip1-1",73,"P"
24451,"csp_4_6","Female","31483",FALSE,"AT.1.1","ft4.1","dip1-6",45,"J"
24453,"csp_8_4","Male","31483",TRUE,"AT.2.2","ft1.1","dip1-5",24,"J"
24454,"csp_7_7","Female","31484",FALSE,"AT.2.1","ft1.2","dip1-1",83,"J"
24455,"csp_6_5","Female","31484",FALSE,"AT.1.1","ft3.2","dip1-5",28,"J"
24456,"csp_5_5","Male","31484",FALSE,"AT.1.2","ft4.2","dip1-5",22,"J"
24457,"csp_5_2","Female","31484",FALSE,"AT.1.1","ft3.2","dip1-4",41,"J"
24458,"csp_7_2","Female","31486",FALSE,"AT.2.1","ft1.2","dip1-1",91,"J"
24459,"csp_4_5","Male","31488",FALSE,"AT.1.1","ft1.1","dip1-8",57,"J"
24464,"csp_2_2","Male","31488",FALSE,"AT.1.1","ft1.1","dip1-4",56,"J"
24465,"csp_4_6","Female","31488",FALSE,"AT.1.1","ft1.2","dip1-7",38,"J"
24466,"csp_8_5","Female","31488",FALSE,"AT.2.4","ft4.2","dip1",60,"J"
24467,"csp_8_4","Male","31488",TRUE,"AT.2.2","ft4.2","dip1-4",22,"J"
24468,"csp_5_4","Female","31488",FALSE,"AT.1.1","ft4.1","dip1-5",28,"P"
24469,"csp_5_4","Male","31488",FALSE,"AT.1.1","ft4.1","dip1-7",31,"J"
24470,"csp_4_2","Male","31488",FALSE,"AT.1.1","ft2.0","dip1-8",31,"J"
24471,"csp_3_8","Female","31488",FALSE,"AT.1.1","ft4.1","dip1-8",53,"J"
24472,"csp_8_4","Male","31488",TRUE,"AT.2.2","ft1.1","dip1-6",27,"J"
24473,"csp_8_4","Female","31488",TRUE,"AT.2.2","ft1.2","dip1-4",22,"J"
24475,"csp_7_4","Male","31488",FALSE,"AT.2.1","ft4.4","dip1-8",82,"J"
24477,"csp_4_6","Male","31488",FALSE,"AT.1.1","ft3.2","dip1-1",28,"J"
24478,"csp_2_2","Male","31488",FALSE,"AT.1.1","ft4.1","dip3",60,"J"
24479,"csp_2_1","Male","31488",FALSE,"AT.1.1","ft4.1","dip1",48,"J"
24481,"csp_8_6","Female","31489",FALSE,"AT.2.5","ft3.2","dip1-4",68,"J"
24482,"csp_5_2","Female","31490",FALSE,"AT.1.1","ft1.2","dip1-4",53,"J"
24483,"csp_5_2","Female","31490",FALSE,"AT.1.1","ft4.1","dip1-3",31,"J"
24487,"csp_8_1","Female","31490",FALSE,"AT.1.2","ft3.2","dip1-7",25,"J"
24488,"csp_7_4","Male","31490",FALSE,"AT.2.1","ft4.4","dip1-7",67,"J"
24490,"csp_7_7","Female","31490",FALSE,"AT.2.1","ft4.4","dip1-3",73,"J"
24491,"csp_3_8","Male","31490",FALSE,"AT.1.1","ft2.0","dip1-8",26,"J"
24494,"csp_8_4","Female","31495",TRUE,"AT.2.2","ft3.2","dip2",15,"J"
24499,"csp_4_7","Male","31497",FALSE,"AT.1.1","ft1.1","dip3",54,"J"
24501,"csp_5_6","Female","31499",TRUE,"AT.1.2","ft3.2","dip1-4",34,"J"
24503,"csp_8_6","Female","31499",FALSE,"AT.2.1","ft3.2","dip2",83,"J"
24504,"csp_4_3","Female","31499",FALSE,"AT.1.1","ft4.1","dip1-7",39,"J"
24506,"csp_8_4","Female","31499",TRUE,"AT.2.2","ft2.0","dip1-4",22,"J"
24507,"csp_7_5","Male","31499",FALSE,"AT.2.1","ft4.4","dip1-5",77,"J"
24509,"csp_8_4","Male","31499",TRUE,"AT.2.2","ft4.2","dip1-6",23,"J"
24510,"csp_6_7","Male","31499",FALSE,"AT.1.2","ft4.3","dip2",36,"J"
24511,"csp_3_3","Female","31499",FALSE,"AT.1.1","ft4.3","dip1-9",65,"J"
24513,"csp_6_7","Male","31499",FALSE,"AT.1.1","ft4.3","dip1-4",26,"J"
24517,"csp_8_4","Male","31500",TRUE,"AT.2.2","ft4.1","dip3",18,"J"
24519,"csp_7_7","Female","31501",FALSE,"AT.2.1","ft3.2","dip1-4",73,"J"
24522,"csp_4_4","Male","31506",FALSE,"AT.1.1","ft4.2","dip1-7",34,"J"
24523,"csp_3_8","Male","31506",FALSE,"AT.1.1","ft1.1","dip1-8",27,"J"
24524,"csp_4_3","Female","31506",FALSE,"AT.1.1","ft4.1","dip1-7",54,"J"
24526,"csp_7_7","Female","31506",FALSE,"AT.2.1","ft1.2","dip1-3",78,"J"
24533,"csp_4_3","Male","31506",FALSE,"AT.1.1","ft4.1","dip1-3",56,"J"
24535,"csp_3_7","Female","31506",FALSE,"AT.1.1","ft3.2","dip1-8",42,"J"
24538,"csp_3_7","Male","31506",FALSE,"AT.1.1","ft4.2","dip1-8",57,"J"
24541,"csp_7_2","Male","31512",FALSE,"AT.2.1","ft4.4","dip1-1",68,"J"
24543,"csp_3_8","Male","31512",FALSE,"AT.1.1","ft4.1","dip1-8",28,"J"
24548,"csp_4_6","Male","31517",FALSE,"AT.1.1","ft4.1","dip1-6",38,"J"
24553,"csp_6_8","Male","31523",FALSE,"AT.1.1","ft4.1","dip2",55,"J"
24554,"csp_8_5","Male","31525",TRUE,"AT.2.2","ft3.2","dip3",16,"J"
24555,"csp_4_3","Female","31526",FALSE,"AT.1.1","ft4.3","dip1-7",46,"J"
24559,"csp_7_7","Male","31526",FALSE,"AT.2.1","ft3.1","dip1-7",71,"J"
