id,ECO_SECT,Before_dep,job_dep,Job_desc,type_of_contract,Labor_force_status,WORK_CONDITION,employer_type,Working_hours,EMPLOYEE_COUNT
12595,"CH","13","13","623a","CDI","O","P","ct_9",765,"tr_3"
12597,"LZ","64","64","543b","CDI","O","P","ct_9",1140,"tr_1"
12604,"NZ","28","28","684a","CDI","O","P","ct_9",1590,"tr_1"
12610,"HZ","22","54","534a","CDI","O","N","ct_9",1494,"tr_5"
12612,"QB","92","92","526a","CDI","O","P","ct_8",580,"tr_4"
12614,"TZ","38","38","563c","CDI","O","C",NA,981,NA
12618,"CA","85","85","625g","CDI","O","C","ct_9",1787,"tr_5"
12619,"GZ","22","22","554a","CDI","O","C","ct_9",1418,"tr_1"
12632,"HZ","40","40","684a","CDI","O","C","ct_9",2294,"tr_3"
12633,"QB","69","69","526a","CDI","O","C","ct_8",1638,"tr_4"
12642,"TZ","51","51","563a","CDI","O","C",NA,149,NA
12645,"QA","12","12","526a","CDI","O","C","ct_3",1820,"tr_4"
12660,"CH","40","40","676a","CDI","O","C","ct_9",983,"tr_3"
12664,"OZ","70","70","525c","CDI","O","C","ct_2",1082,"tr_6"
12666,"FZ","68","68","633a","CDI","O","C","ct_9",622,"tr_1"
12675,"MA","92","92","461c","CDI","O","P","ct_9",775,"tr_2"
12679,"QB","59","59","563a","CDI","O","N","ct_7",2584,"tr_1"
12686,"IZ","89","89","636d","CDI","O","C","ct_8",1437,"tr_2"
12689,"GZ","72","72","534a","CDI","O","C","ct_9",1517,"tr_6"
12693,"JA","93","92","478b","CDI","O","C","ct_9",1992,"tr_5"
12694,"HZ","44","44","676d","CDI","O","P","ct_9",1508,"tr_4"
12708,"MA","13","13","543c","CDI","O","C","ct_9",1958,"tr_4"
12712,"MB","34","63","387f","CDI","O","C","ct_9",1985,"tr_4"
12714,"FZ","53","53","543b","TTP","O","C",NA,171,NA
12725,"QB","43","43","526a","CDI","O","P","ct_8",910,"tr_5"
12756,"OZ","86","86","541b","CDI","O","C","ct_8",1482,"tr_3"
12767,"NZ","38","69","684a","CDD","O","P","ct_9",141,"tr_2"
12780,"GZ","83","83","554a","CDI","O","P","ct_9",1063,"tr_1"
12785,"OZ","59","59","451g","CDI","O","C",NA,152,NA
12786,"NZ","31","31","534a","CDI","O","C","ct_9",1800,"tr_6"
12791,"QA","16","16","526e","CDI","O","C","ct_9",1922,"tr_3"
12795,"CA","85","85","625d","CDI","O","C","ct_9",1827,"tr_6"
12804,"QB","38","38","563b","CDI","O","P",NA,770,NA
12805,"HZ","17","17","461b","CDI","O","C","ct_5",1820,"tr_5"
12810,"QB","86","86","526d","CDI","O","C","ct_8",470,"tr_3"
12814,"GZ","25","25","554h","CDI","O","C","ct_9",803,"tr_1"
12846,"CC","31","31","632c","CDI","O","C","ct_9",1307,"tr_1"
12851,"QB","33","33","563b","CDI","O","C",NA,467,NA
12856,"PZ","87","87","421b","CDI","O","C","ct_8",1820,"tr_3"
12858,"SZ","33","33","463e","CDI","O","P","ct_9",759,"tr_1"
12864,"GZ","34","34","542b","CDI","O","P","ct_9",988,"tr_2"
12871,"FZ","30","30","681a","CDI","O","C","ct_9",1638,"tr_1"
12882,"QB","31","31","525d","CDI","O","C","ct_8",1812,"tr_3"
12895,"QB","91","91","563a","CDI","O","N","ct_7",1356,"tr_0"
12908,"OZ",NA,NA,"525a","CDI","O","P","ct_2",1560,"tr_6"
12909,"MA","75","92","387d","CDI","O","C","ct_9",520,"tr_5"
12917,"QA","70","70","525d","CDI","O","C","ct_8",1831,"tr_5"
12930,"NZ","92","93","534a","CDI","O","C","ct_9",1783,"tr_4"
12938,"RZ","88","88","526c","CDI","O","P","ct_8",1349,"tr_3"
12941,"HZ","38","38","644a","CDD","O","C","ct_9",1806,"tr_3"
12943,"QA","75","75","526a","CDI","O","C","ct_8",1379,"tr_5"
12944,"SZ","77","94","371a","CDI","O","C","ct_8",1820,"tr_6"
12945,"HZ","67","68","641a","CDI","O","C","ct_9",2153,"tr_2"
13015,"SZ",NA,NA,"554a","AUT","X","C","ct_8",1454,"tr_4"
13019,"JA","93","92","352a","CDI","O","C","ct_9",1820,"tr_6"
13029,"CK","26","26","487a","CDI","O","C","ct_9",1803,"tr_5"
13033,"OZ","60","60","563a","AUT","O","P","ct_2",430,"tr_6"
13037,"GZ","42","42","463e","AUT","O","N","ct_9",152,"tr_4"
13039,"CE","60","60","625c","CDI","O","C","ct_9",1826,"tr_5"
13043,"SZ","93","75","451h","CDI","O","C","ct_3",1365,"tr_6"
13047,"NZ","44","44","462c","CDI","O","C","ct_9",512,"tr_1"
13054,"MA","78","78","383a","CDI","O","C","ct_9",1820,"tr_6"
13061,"NZ","67","67","681b","CDI","O","C","ct_9",1524,"tr_1"
13063,"HZ","13","13","641b","CDI","O","C","ct_9",828,"tr_2"
13081,"FZ","06","06","633a","CDI","O","C","ct_9",1617,"tr_2"
13083,"NZ","91","91","684a","CDI","O","P","ct_9",1494,"tr_5"
13093,"MA","60","60","542a","CDI","O","C","ct_9",2022,"tr_2"
13102,"GZ","56","56","653a","CDI","O","C","ct_9",1922,"tr_3"
13119,"NZ","75","92","546b","CDI","O","C","ct_9",805,"tr_4"
13121,"QA","69","69","451h","CDI","O","P","ct_8",703,"tr_4"
13124,"IZ","41","41","636d","CDI","O","P","ct_9",1299,"tr_1"
13128,"MA","35","35","472c","AUT","X","P","ct_9",990,"tr_1"
13149,"CM","31","31","676e","CDI","O","C","ct_9",1716,"tr_4"
13158,"CK","44","44","653a","CDI","O","C","ct_9",1396,"tr_6"
13176,"QB","30","30","543b","CDI","O","C","ct_8",526,"tr_1"
13202,"QA","83","83","526e","CDI","O","C","ct_9",1684,"tr_4"
13204,"MA","88","88","543b","CDI","O","P","ct_9",2038,"tr_3"
13231,"CC","17","17","674e","CDI","O","C","ct_9",1786,"tr_5"
13243,"JB","78","78","462d","AUT","O","C","ct_9",1766,"tr_6"
13247,"TZ","33","33","563c","CDI","O","C",NA,834,NA
13248,"PZ","13","13","523b","CDI","O","C","ct_4",1820,"tr_3"
13253,"HZ","75","93","546d","CDI","O","C","ct_9",262,"tr_6"
13254,"HZ","01","01","641a","CDI","O","C","ct_9",1102,"tr_0"
13276,"NZ","76","76","691e","CDI","O","C","ct_9",632,"tr_4"
13277,"QB","69","69","525d","CDI","O","P","ct_8",786,"tr_4"
13294,"KZ","13","26","374d","CDI","O","C","ct_9",2035,"tr_3"
13304,"NZ","91","91","631a","CDI","O","C","ct_9",1771,"tr_3"
13322,"HZ","44","44","642b","CDI","O","P","ct_9",912,"tr_6"
13325,"NZ","93","93","684a","CDI","O","P","ct_9",650,"tr_5"
13337,"QB","95","95","563a","CDI","O","N","ct_7",3000,"tr_1"
13344,"PZ","77","77","461d","CDI","O","C","ct_8",1820,"tr_3"
13346,"QB","94","94","563b","CDI","O","N","ct_7",1173,"tr_1"
13348,"CA",NA,NA,"462e","CDI","O","C","ct_9",1820,"tr_3"
13351,"PZ","92","75","421b","CDI","O","C","ct_8",2028,"tr_3"
13366,"TZ","77","77","563c","CDI","O","N","ct_7",1086,"tr_0"
13377,"PZ","59","59","421b","AUT","O","C","ct_2",1820,"tr_2"
13382,"QA","75","92","525d","CDI","O","C","ct_9",1856,"tr_4"
13389,"HZ","73","73","642a","CDI","O","C","ct_9",1662,"tr_1"
13400,"QB","09","09","563a","AUT","O","P","ct_2",1332,"tr_5"
13408,"GZ","80","80","643a","CDI","O","C","ct_9",2033,"tr_1"
13428,"QB","31","31","676e","AUT","X","C","ct_8",1820,"tr_6"
13443,"CA","72","53","676c","CDI","O","P","ct_9",1456,"tr_6"
13446,"QA",NA,"59","451h","CDI","O","C","ct_3",1820,"tr_6"
13450,"CK","80","80","673c","CDI","O","P","ct_9",733,"tr_4"
13452,"QB","62","62","525d","CDI","O","C","ct_9",1844,"tr_4"
13463,"OZ","42","42","623f","AUT","O","C","ct_1",1824,"tr_6"
13481,"PZ","59","59","525a","CDI","O","P","ct_8",741,"tr_3"
13490,"OZ","30","30","524c","CDI","O","P","ct_2",1556,"tr_6"
13506,"TZ",NA,NA,"563c","CDI","O","C",NA,988,NA
13511,"QB","77","93","636d","CDI","O","C","ct_8",1302,"tr_1"
13521,"QB","83","83","525d","CDI","O","C","ct_8",1821,"tr_3"
13522,"CH","60","60","628g","CDI","O","C","ct_9",924,"tr_5"
13525,"HZ","83","06","481a","CDI","O","C","ct_9",1820,"tr_4"
13536,"QB","31","31","525d","CDI","O","C","ct_8",1812,"tr_3"
13538,"KZ","91","91","545c","CDI","O","P","ct_9",1044,"tr_1"
13545,"QA","70","70","684a","CDI","O","P","ct_9",1490,"tr_3"
13550,"CC","51","51","674e","CDI","O","C","ct_9",1502,"tr_4"
13566,"OZ",NA,NA,"461f","CDI","O","C","ct_1",1820,"tr_3"
13576,"QB",NA,NA,"563b","CDI","O","C","ct_8",1820,"tr_6"
13584,"QB","81","34","525d","CDI","O","C","ct_8",1780,"tr_5"
13585,"CG","74","74","625c","CDI","O","C","ct_9",1891,"tr_4"
13612,"QA","54","54","525d","CDI","O","C","ct_3",1820,"tr_6"
13613,"QB","89","89","525d","CDI","O","C","ct_9",1331,"tr_3"
13615,"NZ","13","13","684a","CDI","O","C","ct_9",1754,"tr_5"
13619,"FZ","45","28","632e","CDI","O","C","ct_9",1386,"tr_2"
13622,"RZ","92","75","333c","CDI","O","C","ct_9",781,"tr_3"
13627,"CA","29","29","674c","CDI","O","C","ct_9",686,"tr_5"
13632,"CA","72","72","625d","CDI","O","C","ct_9",283,"tr_6"
13636,"JB","69","69","478d","AUT","O","C","ct_9",1792,"tr_6"
13663,"PZ","49","49","422e","CDI","O","P","ct_8",534,"tr_3"
13666,"QB","12","12","636d","CDI","O","P","ct_8",910,"tr_5"
13672,"QB","01","01","525d","CDI","O","C","ct_9",1739,"tr_3"
13673,"CA","88","88","676c","CDI","O","C","ct_9",789,"tr_6"
13675,"GZ","60","60","554a","CDI","O","P","ct_9",363,"tr_0"
13685,"QB","45","45","676e","AUT","O","C","ct_8",1820,"tr_5"
13686,"OZ","31","31","621f","AUT","O","P","ct_2",1734,"tr_1"
13709,"SZ","43","43","441a","CDI","O","C","ct_9",338,"tr_0"
13718,"GZ","78","78","636a","CDI","O","C","ct_9",1560,"tr_1"
13724,"QA","37","37","431f","AUT","O","C","ct_3",1960,"tr_6"
13730,"CL","35","35","484b","CDI","O","C","ct_8",1628,"tr_5"
13749,"QA","49","49","526b","CDI","O","P","ct_9",1403,"tr_1"
13758,"NZ","95","75","684a","CDI","O","C","ct_9",3000,"tr_6"
13770,"QA","59","59","684a","CDI","O","C",NA,261,NA
13781,"QB","25","25","563b","CDI","O","C","ct_8",361,"tr_2"
13792,"SZ","31","31","543h","CDI","O","C","ct_8",1412,"tr_6"
13801,"QB","33","33","563a","CDI","O","N","ct_7",2072,"tr_1"
13802,"IZ","67","67","561b","CDI","O","C","ct_9",984,"tr_1"
13806,"QB","76","76","563b","CDI","O","C",NA,209,NA
13812,"GZ","03","03","551a","CDI","O","P","ct_9",939,"tr_4"
13815,"CG","38","38","626a","CDI","O","C","ct_9",457,"tr_3"
13829,"FZ","05","05","632j","CDI","O","C","ct_9",1618,"tr_2"
13831,"MC","31","31","653a","CDI","O","P",NA,206,NA
13852,"CC","72","72","676c","CDI","O","C","ct_9",1404,"tr_5"
13876,"NZ","27","27","684a","CDI","O","P",NA,408,"tr_1"
13888,"QB","93","75","526a","CDI","O","C","ct_8",1475,"tr_5"
13900,"GZ","35","35","556a","CDI","O","C","ct_9",1737,"tr_2"
13911,"PZ","59","59","478b","CDI","O","C","ct_9",700,"tr_2"
13917,"NZ","38","38","684a","CDI","O","P",NA,279,"tr_1"
13932,"NZ","92","77","534a","CDI","O","C","ct_9",1820,"tr_6"
13940,"HZ","42","42","641b","CDI","O","P","ct_9",592,"tr_4"
13942,"QB","81","81","434d","CDI","O","C","ct_8",1820,"tr_3"
13944,"FZ",NA,NA,"621b","CDI","O","C","ct_9",1353,"tr_0"
13962,"GZ","33","33","554h","CDI","O","P","ct_6",1352,"tr_1"
13965,"PZ","92","75","422c","CDI","O","P","ct_8",1027,"tr_3"
13967,"QA","06","06","344a","CDI","O","P","ct_8",910,"tr_6"
13979,"QB","62","62","524b","CDI","O","C","ct_8",1820,"tr_4"
13980,"HZ","62","62","641a","CDI","O","C","ct_9",1888,"tr_1"
13982,"NZ","94","02","468b","CDI","O","C","ct_9",895,"tr_1"
13992,"GZ","88","88","543f","CDI","O","P","ct_9",910,"tr_1"
14001,"QA","46","46","344a","CDI","O","P","ct_3",182,"tr_6"
14010,"CC","69","38","627f","CDI","O","C","ct_9",1029,"tr_5"
14027,"JC","78","92","373d","CDI","O","P","ct_9",1417,"tr_3"
14030,"QA","60","60","526e","CDI","O","C","ct_9",1889,"tr_4"
14034,"IZ","87","87","643a","CDI","O","P","ct_9",1352,"tr_1"
14036,"QA","95","95","684a","CDI","O","P","ct_6",317,"tr_1"
14037,"QB","59","59","563a","AUT","O","P","ct_2",713,"tr_6"
14048,"QB","59","59","525d","CDI","O","C","ct_8",1820,"tr_4"
14055,"CG","10","10","475b","CDI","O","C","ct_9",1888,"tr_6"
14058,"KZ","57","57","545b","CDI","O","C","ct_9",1820,"tr_3"
14066,"PZ","42","42","422d","CDI","O","C","ct_8",1293,"tr_4"
14069,"TZ","56","56","563c","CDI","O","N","ct_7",1843,"tr_1"
14072,"LZ","34","34","376g","CDI","O","C","ct_9",1410,"tr_1"
14077,"QB","92","95","542a","CDI","O","C","ct_9",607,"tr_3"
14079,"GZ","31","31","676a","CDI","O","C","ct_9",1565,"tr_1"
14081,"CM","53","53","627d","CDI","O","C","ct_9",275,"tr_2"
14094,"CK","54","54","624c","CDI","O","C","ct_9",2056,"tr_3"
14095,"OZ","83","83","435b","AUT","O","C","ct_2",1819,"tr_5"
14104,"OZ","49","49","451e","CDI","O","C","ct_8",1820,"tr_4"
14106,"FZ","63","63","632a","CDI","O","C","ct_9",1742,"tr_5"
14110,"OZ","23","23","525b","CDI","O","P",NA,151,NA
14122,"SZ","74","74","675a","AUT","X","C","ct_9",906,"tr_1"
14135,"NZ","78","78","461d","CDI","O","C","ct_9",229,"tr_4"
14146,"MB","45","45","477a","CDI","O","C","ct_5",1919,"tr_6"
14157,"CA","67","67","554a","CDI","O","C",NA,152,NA
14160,"QA","85","85","433a","CDI","O","P","ct_9",555,"tr_2"
14169,"OZ",NA,NA,"525a","CDI","O","P","ct_2",1560,"tr_6"
14170,"JC","94","94","478b","CDI","O","C","ct_9",1765,"tr_0"
14172,"PZ",NA,NA,"422b","CDI","O","C","ct_4",1921,"tr_4"
14182,"NZ","78","75","372c","CDI","O","C","ct_9",910,"tr_6"
14186,"FZ","94","77","632f","CDI","O","C","ct_9",1749,"tr_3"
14192,"FZ","93","60","681a","CDI","O","C","ct_9",1581,"tr_2"
14193,"FZ","62","59","633a","CDI","O","C","ct_9",1172,"tr_3"
14206,"QB","70","25","526a","CDI","O","C","ct_8",1703,"tr_4"
14208,"QA","54","54","525d","AUT","O","C","ct_3",1665,"tr_6"
14211,"GZ","69","69","543f","CDI","O","C","ct_9",1801,"tr_3"
14244,"QB","18","18","563b","CDI","O","C","ct_8",1868,"tr_2"
14255,"RZ","31","31","542a","CDI","O","P","ct_8",1059,"tr_2"
14262,"QB","55","55","525d","CDI","O","P","ct_8",1622,"tr_4"
14265,"FZ","43","43","621c","CDI","O","C","ct_9",1562,"tr_1"
14266,"GZ","85","85","543f","CDI","O","P","ct_9",1248,"tr_5"
14278,"PZ","70","70","422d","CDI","O","C","ct_4",1820,"tr_4"
14281,"NZ","77","91","534a","CDI","O","C","ct_9",1997,"tr_2"
14285,"FZ","26","26","681a","CDI","O","P","ct_9",307,"tr_1"
14291,"QB","04","04","563b","CDI","O","C","ct_9",1339,"tr_3"
14296,"CB","34","34","675a","CDI","O","C","ct_9",607,"tr_4"
14316,"OZ","54","54","621f","CDI","O","C",NA,206,NA
14322,"GZ","85","85","554g","AUT","O","P","ct_9",1064,"tr_2"
14327,"QB","38","38","461d","CDI","O","C","ct_8",1756,"tr_3"
14330,"HZ","42","42","466b","CDI","O","C","ct_9",1834,"tr_3"
14331,"HZ","30","30","466c","CDI","O","P","ct_9",695,"tr_1"
14333,"MA","50","50","542a","CDI","O","C","ct_9",2060,"tr_2"
14340,"GZ","92","78","683a","CDI","O","C","ct_9",874,"tr_6"
14347,"JA","13","13","388d","CDI","O","C","ct_9",1820,"tr_5"
14348,"JA","38","38","476a","CDI","O","C","ct_9",1348,"tr_2"
14351,"HZ","47","47","451a","CDI","O","C","ct_9",1824,"tr_4"
14355,"NZ","64","64","564a","CDI","O","C","ct_8",1820,"tr_1"
14364,"IZ","83","83","561b","CDI","O","C",NA,378,NA
14383,"QB","80","80","563b","CDI","O","P","ct_8",1083,"tr_5"
14385,"MB","91","91","479a","AUT","O","P","ct_1",1456,"tr_6"
14393,"PZ","56","56","422a","CDI","O","C","ct_8",417,"tr_5"
14394,"GZ","68","68","542a","CDI","O","C","ct_9",1820,"tr_2"
14401,"TZ",NA,NA,"563c","TOA","O","C",NA,301,NA
14407,"NZ","91","91","684a","CDI","O","P","ct_9",1475,"tr_6"
14408,"MB","92","78","524c","CDI","O","C","ct_1",1820,"tr_6"
14409,"CL","31","31","543g","CDI","O","C","ct_9",1466,"tr_6"
14422,"CL","91","94","383a","CDI","O","C","ct_9",1612,"tr_6"
14423,"KZ","03","03","388b","CDI","O","C","ct_9",1679,"tr_4"
14424,"GZ","33","33","534a","CDI","O","C","ct_9",1370,"tr_6"
14425,"QA","52","52","526e","CDI","O","C","ct_9",2007,"tr_3"
14427,"QB","95","93","542a","CDI","O","C","ct_9",569,"tr_4"
14432,"CG","29","29","676e","CDI","O","C","ct_9",1680,"tr_2"
14435,"HZ","42","42","642b","CDI","O","C",NA,391,NA
14442,"HZ","74","74","534a","TOA","O","C","ct_9",420,"tr_3"
14444,"JB","06","06","676c","CDI","O","C","ct_9",1620,"tr_2"
14446,"FZ","06","06","633a","CDI","O","C","ct_9",1526,"tr_3"
14453,"NZ","78","78","461d","CDI","O","C","ct_9",229,"tr_4"
14454,"CB","26","26","635a","CDI","O","C","ct_9",1859,"tr_3"
14460,"MA","91","75","461e","CDI","O","P","ct_9",192,"tr_5"
14474,"CH","80","80","673a","CDI","O","C","ct_9",1725,"tr_2"
14494,"PZ","44","44","422e","CDI","O","C","ct_8",1820,"tr_4"
14496,"CM","63","63","543b","CDI","O","C","ct_9",1671,"tr_2"
14515,"CM","95","75","462b","CDI","O","C","ct_9",1625,"tr_1"
14519,"TZ","19","19","563c","CDI","O","C",NA,815,NA
14521,"CE","02","02","477b","CDI","O","C","ct_9",1827,"tr_6"
14528,"NZ","69","69","684a","CDI","O","P","ct_9",1298,"tr_2"
14546,"QB","92","95","542a","CDI","O","C","ct_9",607,"tr_3"
14551,"TZ","49","49","563a","CDI","O","C",NA,158,NA
14558,"FZ","83","83","382c","CDI","O","C","ct_9",1820,"tr_2"
14574,"QB",NA,NA,"526a","CDI","O","C","ct_8",1822,"tr_4"
14579,"QB","85","85","621f","CDI","O","P","ct_2",368,"tr_3"
14584,"QB","59","59","563a","CDI","O","N","ct_7",1867,"tr_0"
14594,"CG","71","71","484a","CDI","O","C","ct_9",609,"tr_5"
14599,"OZ","81","81","524c","CDD","O","P","ct_2",250,"tr_6"
14613,"OZ","59","59","522a","AUT","O","C","ct_1",1820,"tr_5"
14621,"GZ","01","69","625f","CDI","O","C","ct_9",1820,"tr_4"
14625,"QB","37","37","563a","CDI","O","C",NA,166,NA
14626,"QB","27","27","525d","CDI","O","C","ct_9",1822,"tr_3"
14653,"GZ",NA,NA,"561d","CDI","O","C","ct_9",1012,"tr_1"
14658,"SZ","53","53","635a","CDI","O","C","ct_9",572,"tr_1"
14664,"FZ","59","59","634b","CDI","O","C","ct_9",1022,"tr_1"
14675,"QB","68","68","526a","CDI","O","C","ct_8",911,"tr_3"
14676,"QB","75","75","676e","AUT","O","C","ct_8",1396,"tr_5"
14683,"QB","51","51","563b","CDI","O","C",NA,422,NA
14692,"HZ","31","31","641a","CDI","O","C","ct_9",1949,"tr_5"
14710,"CM","39","39","673c","CDI","O","C","ct_9",1282,"tr_2"
14711,"OZ","91","94","333e","CDI","O","C","ct_1",2028,"tr_5"
14713,"OZ",NA,NA,"525a","CDI","O","P","ct_2",1421,"tr_6"
14715,"CJ","54","54","387a","CDI","O","C","ct_9",1820,"tr_5"
14725,"TZ","38","38","563c","CDI","O","C",NA,540,NA
14726,"PZ","75","75","525a","CDI","O","P","ct_9",1095,"tr_2"
14728,"QB","25","25","435b","CDD","O","P","ct_8",170,"tr_1"
14730,"IZ","71","71","561c","CDI","O","C",NA,221,NA
14737,"KZ","2B","2B","676e","CDI","O","C","ct_9",1820,"tr_2"
14742,"TZ","31","31","563c","CDI","O","C",NA,1447,NA
14743,"MA","78","78","388a","CDI","O","C","ct_9",1820,"tr_2"
14750,"OZ","95","95","524c","CDD","O","C","ct_2",1656,"tr_6"
14758,"JA","92","75","352a","CDI","O","C","ct_9",1820,"tr_6"
14762,"QA","33","33","526b","CDI","O","C","ct_6",2004,"tr_1"
14770,"QA","54","54","431f","CDI","O","C","ct_8",1846,"tr_6"
14787,"QA","33","33","525d","CDI","O","C","ct_9",459,"tr_5"
14788,"SZ","77","93","685a","CDI","O","C","ct_9",1400,"tr_0"
14795,"CC","45","45","626c","CDI","O","C","ct_9",1633,"tr_6"
14801,"CH","54","57","637d","CDI","O","C","ct_9",1602,"tr_2"
14813,"QB","46","46","563b","CDI","O","P","ct_9",399,"tr_6"
14818,"JB","13","13","478d","AUT","O","P","ct_9",889,"tr_5"
14841,"QA","88","88","523d","CDI","O","C","ct_3",1820,"tr_6"
14842,"CA","32","47","625f","CDI","O","C","ct_9",1479,"tr_4"
14854,"CH","42","42","673b","CDI","O","C","ct_9",1017,"tr_1"
14865,"HZ","34","34","641b","AUT","O","C",NA,462,NA
14876,"OZ","57","57","451e","CDI","O","C","ct_1",1820,"tr_2"
14893,"OZ","93","93","543g","CDI","O","C","ct_8",1991,"tr_5"
14906,"NZ","02","77","534a","CDI","O","C","ct_9",1597,"tr_6"
14909,"FZ",NA,NA,"632a","CDI","O","C","ct_9",1214,"tr_4"
14916,"GZ","38","38","551a","CDI","O","P","ct_9",1685,"tr_4"
14917,"CB","93","93","635a","CDI","O","C","ct_9",1800,"tr_4"
14929,"QB","79","79","434d","CDI","O","C","ct_8",1815,"tr_4"
14940,"TZ","94","94","563a","CDI","O","N","ct_7",1965,"tr_0"
14942,"QA","76","76","541d","CDI","O","C","ct_9",372,"tr_6"
14951,"LZ","80","80","543h","CDI","O","C","ct_9",1820,"tr_0"
14953,"SZ","83","83","526e","CDI","O","C","ct_9",2019,"tr_3"
14967,"QA","73","73","523d","AUT","O","P","ct_3",1275,"tr_6"
14983,"HZ","72","75","534a","CDI","O","C","ct_9",2200,"tr_1"
15004,"PZ","59","59","422c","CDI","O","P",NA,251,NA
15005,"FZ","61","61","632d","CDI","O","C","ct_9",1267,"tr_3"
15010,"QB","61","61","525d","CDI","O","C","ct_9",1810,"tr_3"
15019,"GZ","92","75","551a","CDI","O","C","ct_9",1727,"tr_4"
15034,"QA","26","26","431f","CDI","O","C","ct_3",248,"tr_6"
15037,"CK","60","60","541d","CDI","O","C","ct_9",1618,"tr_6"
15048,"OZ","33","33","451c","CDI","O","C",NA,152,NA
15060,"QB","02","02","526d","CDI","O","C","ct_8",1773,"tr_2"
15062,"FZ","48","48","461c","CDD","O","C","ct_9",1005,"tr_1"
15064,"OZ","21","21","563a","AUT","O","C","ct_2",1820,"tr_5"
15065,"MC","44","44","643a","CDI","O","P","ct_9",510,"tr_3"
15076,"TZ","68","68","563c","CDI","O","C",NA,124,NA
15080,"QB","93","93","486e","CDI","O","C","ct_8",1820,"tr_5"
15081,"GZ","07","43","643a","CDI","O","C","ct_9",1576,"tr_3"
15090,"GZ","22","22","433b","CDI","O","C","ct_9",1755,"tr_1"
15096,"FZ","49","49","633a","CDI","O","C","ct_9",1775,"tr_3"
15097,"NZ","72","37","534a","CDI","O","C","ct_9",2044,"tr_5"
15099,"TZ","24","24","563c","CDI","O","C",NA,335,NA
15104,"SZ","13","13","461b","CDI","O","C","ct_8",1820,"tr_2"
15105,"HZ",NA,NA,"542a","CDI","O","P","ct_9",347,"tr_1"
15126,"GZ","33","33","554b","CDI","O","C","ct_9",1440,"tr_1"
15127,"NZ","92","92","564a","CDI","O","P","ct_8",2201,"tr_1"
15150,"QA","88","88","523d","CDI","O","C","ct_3",1820,"tr_6"
15171,"IZ","93","93","561c","CDI","O","P","ct_9",543,"tr_1"
15172,"CA","56","56","625f","CDI","O","C","ct_9",1827,"tr_6"
15177,"KZ","77","77","543e","CDI","O","P","ct_5",1612,"tr_6"
15178,"CC","12","12","627f","CDI","O","C","ct_9",1446,"tr_1"
15198,"SZ","69","69","524c","CDI","O","C","ct_4",1840,"tr_5"
15208,"QB","49","49","526d","CDI","O","P","ct_8",1749,"tr_3"
15214,"PZ","59","59","421b","CDI","O","C","ct_8",1213,"tr_2"
15227,"NZ","15","15","684a","CDI","O","P","ct_9",2193,"tr_4"
15240,"OZ","44","33","564b","AUT","O","C","ct_1",1809,"tr_4"
15243,"QB","78","78","563a","CDI","O","N","ct_7",1937,"tr_0"
15252,"PZ","92","75","523c","AUT","O","C","ct_2",1840,"tr_3"
15253,"CD","44","44","475b","CDI","O","C","ct_9",2027,"tr_6"
15255,"QA","94","94","526e","CDI","O","C","ct_9",1508,"tr_1"
15262,"GZ","02","02","462b","CDI","O","C","ct_9",607,"tr_3"
15275,"OZ","16","16","543g","CDD","O","C","ct_8",476,"tr_6"
15278,"CH","44","44","477a","CDI","O","C","ct_9",1274,"tr_5"
15284,"QB","24","24","525d","CDI","O","C","ct_3",1820,"tr_5"
15287,"FZ","94","94","481b","CDI","O","C","ct_9",152,"tr_5"
15292,"QB","54","54","526d","CDI","O","C","ct_8",1375,"tr_3"
15294,"QA","24","24","431f","AUT","O","P","ct_3",1377,"tr_6"
15297,"CC","37","37","628g","CDI","O","C","ct_9",1522,"tr_5"
15300,"QB","65","65","424a","CDI","O","P","ct_8",1215,"tr_4"
15315,"OZ","40","40","545d","CDI","O","P","ct_8",1274,"tr_5"
15317,"QB","73","01","525d","CDI","O","C","ct_8",1820,"tr_4"
15319,"EZ","91","95","621e","CDI","O","C","ct_9",1622,"tr_3"
15321,"CK","54","54","372d","CDI","O","C","ct_9",1722,"tr_5"
15326,"OZ","07","07","525b","CDI","O","C",NA,129,NA
15337,"QB","44","49","676e","CDD","O","C","ct_8",208,"tr_4"
15346,"QA","73","38","451h","CDI","O","P","ct_8",910,"tr_6"
15355,"TZ","27","27","563c","CDI","O","N","ct_7",1140,"tr_1"
15357,"CL","60","60","628c","CDI","O","C","ct_9",1328,"tr_6"
15363,"QB","79","79","525d","CDI","O","P","ct_8",258,"tr_3"
15368,"CC","28","78","676a","CDI","O","C","ct_9",1522,"tr_3"
15383,"CE","73","38","461d","CDI","O","C","ct_9",1827,"tr_4"
15385,"TZ","59","62","563c","CDI","O","N","ct_7",1801,"tr_1"
15391,"GZ","63","63","552a","CDI","O","C","ct_9",2009,"tr_2"
15393,"IZ","45","45","525d","CDI","O","C",NA,308,NA
15402,"JB","92","75","554g","AUT","O","C","ct_9",1743,"tr_5"
15407,"QA","91","91","542b","CDI","O","C","ct_8",1820,"tr_5"
15411,"NZ","95","95","543g","CDI","O","C","ct_9",1188,"tr_2"
15412,"HZ","61","61","451a","CDI","O","P","ct_9",1274,"tr_2"
15418,"OZ","92","75","333a","CDI","O","P","ct_1",1456,"tr_6"
